2014 ~ 2016년 분기별 부분별 삼성전자 매출액
CE : Customer Electronics
IM : IT & Mobile Communications
DS : Device Solutions
SC : Semi-Conductor
DP : Displays & TV

년도	분기	CE	IM	DS	SC	DP
2014	1	11.32	32.44	15.56	9.39	6.1
2014	2	13.0	28.45	16.23	9.78	6.33
2014	3	11.6	24.58	16.29	9.89	6.25
2014	4	14.27	26.29	17.71	10.66	7.05
2015	1	10.26	25.89	17.1	10.27	6.85
2015	2	11.2	26.06	17.87	11.29	6.62
2015	3	11.59	26.61	20.31	12.82	7.49
2015	4	13.85	25.0	19.74	13.21	6.53
2016	1	10.62	27.6	17.18	11.15	6.04
2016	2	11.55	26.56	18.43	12.0	6.42
2016	3	11.24	22.54	20.29	13.15	7.06
2016	4	13.64	23.61	22.26	14.86	7.42
